"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
124007,"NICKEL",77,123792,123898
124008,"OIL CAKE",77,123751,123898
124009,"PALM KERNELS",77,123586,123898
124010,"PEAS",77,123693,123898
124011,"PEWTER",77,123792,123898
124013,"PIG IRON",77,123796,123898
124014,"PIMENTOS",77,151603,123898
124016,"POLES",77,123915,123898
124018,"POTTERY",77,123836,123898
124019,"PROVISIONS",77,123898,123898
124021,"PURPLE ORE",77,123885,123898
124022,"ROLLING STOCK",77,123749,123898
124024,"RAILWAY SLEEPERS",77,123749,123898
124025,"RAISINS",77,123688,123898
124027,"ROSIN",77,186526,123898
124028,"SAFFRON",77,152045,123898
124029,"SAILCLOTH",77,123851,123898
124031,"SALTED MACKEREL",77,152063,123898
124033,"SEWAGE",77,123752,123898
124035,"SLATE",77,123630,123898
124037,"SOAP",77,123836,123898
124039,"SPELTER",77,124061,123898
124041,"SPRINGS",77,152203,123898
124042,"STARCH",77,123836,123898
124044,"STEEL PLATE",77,123804,123898
124046,"STONE DUST",77,123677,123898
124047,"STRAW",77,123862,123898
124048,"SULPHUR",77,123881,123898
124049,"SUPERPHOSPHATE",77,123753,123898
124050,"TIMBER",77,123929,123898
124051,"TIN ORE",77,123885,123898
124054,"TORPEDOES",77,123773,123898
124055,"TURPENTINE",77,123862,123898
124056,"TYRES",77,123781,123898
124057,"WHISKY",77,151864,123898
124058,"WHITE SPIRIT",77,123824,123898
124059,"WHITING",77,123601,123898
124060,"YARN",77,123850,123898
124061,"ZINC",77,123792,123898
124062,"ZINC INGOTS",77,124061,123898
124063,"ZINC ORE",77,123885,123898
124065,"ALUM",77,123944,123898
124066,"ALUMINA",77,123944,123898
124068,"ANTHRACITE",77,123931,123898
124069,"ANTIMONY",77,123792,123898
124070,"ANTIMONY ORE",77,123885,123898
124071,"ARROWROOT",77,123586,123898
124072,"ARSENIC",77,123881,123898
124073,"ASBESTOS",77,123884,123898
124074,"ASH",77,124050,123898
124076,"CHAMPAGNE",77,123719,123898
124077,"CLINKER",77,123752,123898
124080,"CORDAGE",77,123898,123898
124082,"CABLE",77,124080,123898
124083,"WIRE",77,124080,123898
124085,"SUBMARINE CABLE",77,124082,123898
124086,"STURNE",77,123719,123898
124088,"BARILLA",77,123859,123898
124089,"BARYTES",77,123884,123898
124091,"COPPERAS",77,123884,123898
124093,"MOORSTONE",77,123636,123898
124097,"GAS OIL",77,123588,123898
124098,"PYRITES",77,123884,123898
124101,"FIRE BRICKS",77,123915,123898
124103,"CHINASTONE",77,123884,123898
124105,"SALTPETRE",77,123884,123898
124107,"GLYCERINE",77,123824,123898
124108,"NITRATE",77,123753,123898
124110,"MANGANESE",77,123884,123898
124113,"PHOSPHATE ROCK",77,123884,123898
124114,"SOIL",77,123752,123898
124115,"SPARS",77,123915,123898
124118,"GENERAL CARGO",77,123898,123898
124122,"IRONSTONE",77,123887,123898
124123,"IRON RAILS",77,123915,123898
124124,"STEEL RAILS",77,123915,123898
124125,"SODA",77,123884,123898
124126,"SODA ASH",77,123881,123898
123630,"STONE",77,123884,123898
123633,"MARBLE",77,123630,123898
123682,"ROOFING SLATE",77,123677,123898
123686,"COCONUTS",77,123665,123898
123689,"FIGS",77,123665,123898
123692,"NUTS",77,123665,123898
123697,"POTATOES",77,123693,123898
123746,"SEED",77,123862,123898
123748,"IRONMONGERY",77,123796,123898
123752,"FERTILIZER AND WASTE",77,123898,123898
123757,"INDUSTRIAL WASTE",77,123752,123898
123805,"STEEL INGOTS",77,123804,123898
123808,"TIN INGOTS",77,123807,123898
123811,"COPPER",77,123792,123898
123814,"MERCURY",77,123792,123898
123817,"SILVER BULLION",77,123816,123898
123864,"GUM",77,123862,123898
123866,"RUBBER",77,123862,123898
123869,"COTTON",77,123862,123898
123872,"COTTON GOODS",77,123869,123898
123875,"EMIGRANTS",77,152003,123898
123878,"SLAVES",77,123873,123898
123927,"PAVING STONES",77,123677,123898
123931,"COAL",77,123588,123898
123933,"COKE",77,123931,123898
123935,"PARAFFIN",77,123588,123898
123982,"GINGER",77,123661,123898
124015,"PLANKS",77,123915,123898
